slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed
final-array-state-after-k-multiplication-operations-ii,Hard,695,503,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-largest-palindrome-divisible-by-k,Hard,632,133,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-that-satisfy-k-constraint-ii,Hard,627,620,,SUCCESS,,Time Limit Exceeded,TRUE
time-taken-to-mark-all-nodes,Hard,804,409,,SUCCESS,,Time Limit Exceeded,TRUE
construct-string-with-minimum-cost,Hard,808,713,,SUCCESS,,Time Limit Exceeded,TRUE
number-of-subarrays-with-and-value-of-k,Hard,902,893,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-total-reward-using-operations-ii,Hard,583,572,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-sum-of-subsequence-with-non-adjacent-elements,Hard,527,517,,SUCCESS,,Time Limit Exceeded,TRUE
minimize-manhattan-distances,Hard,537,527,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-moves-to-pick-k-ones,Hard,825,821,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-houses-at-a-certain-distance-ii,Hard,549,505,,SUCCESS,,Time Limit Exceeded,TRUE
count-prefix-and-suffix-pairs-ii,Hard,597,591,,SUCCESS,,Time Limit Exceeded,TRUE
find-beautiful-indices-in-the-given-array-ii,Hard,238,231,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-time-to-revert-word-to-initial-state-ii,Hard,911,898,,SUCCESS,,Time Limit Exceeded,TRUE
number-of-subarrays-that-match-a-pattern-ii,Hard,792,775,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-number-of-ways-to-place-people-ii,Hard,550,497,,SUCCESS,,Time Limit Exceeded,TRUE
divide-an-array-into-subarrays-with-minimum-cost-ii,Hard,691,687,,SUCCESS,,Time Limit Exceeded,TRUE
find-number-of-coins-to-place-in-tree-nodes,Hard,614,612,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-strong-pair-xor-ii,Hard,349,237,,SUCCESS,,Time Limit Exceeded,TRUE
subarrays-distinct-element-sum-of-squares-ii,Hard,542,537,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-edge-weight-equilibrium-queries-in-a-tree,Hard,733,729,,SUCCESS,,Time Limit Exceeded,TRUE
find-a-good-subset-of-the-matrix,Hard,685,682,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-reverse-operations,Hard,711,698,,SUCCESS,,Time Limit Exceeded,TRUE
handling-sum-queries-after-update,Hard,77,73,,SUCCESS,,Time Limit Exceeded,TRUE
groups-of-strings,Hard,97,95,,SUCCESS,,Time Limit Exceeded,TRUE
kth-smallest-product-of-two-sorted-arrays,Hard,112,98,,SUCCESS,,Time Limit Exceeded,TRUE
find-servers-that-handled-most-number-of-requests,Hard,108,100,,SUCCESS,,Time Limit Exceeded,TRUE
stone-game-v,Hard,132,131,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-unique-subarray-sum-after-deletion,Easy,927,431,,SUCCESS,,Wrong Answer,TRUE
sum-of-variable-length-subarrays,Easy,773,176,,SUCCESS,,Wrong Answer,TRUE
zigzag-grid-traversal-with-skip,Easy,840,464,,SUCCESS,,Wrong Answer,TRUE
substring-matching-pattern,Easy,969,866,,SUCCESS,,Wrong Answer,TRUE
smallest-number-with-all-set-bits,Easy,608,599,,SUCCESS,,Wrong Answer,TRUE
stone-removal-game,Easy,53,27,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-values-equal-to-k,Easy,969,899,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-i,Easy,1422,1223,,SUCCESS,,Wrong Answer,TRUE
find-the-encrypted-string,Easy,704,0,,SUCCESS,,Wrong Answer,TRUE
matrix-similarity-after-cyclic-shifts,Easy,914,904,,SUCCESS,,Wrong Answer,TRUE
minimum-right-shifts-to-sort-the-array,Easy,814,317,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iv,Medium,714,339,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-amount-of-time-to-brew-potions,Medium,744,175,,SUCCESS,,Wrong Answer,TRUE
fruits-into-baskets-iii,Medium,740,385,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-copy-arrays,Medium,740,530,,SUCCESS,,Wrong Answer,TRUE
eat-pizzas,Medium,1005,140,,SUCCESS,,Wrong Answer,TRUE
find-minimum-cost-to-remove-array-elements,Medium,807,230,,SUCCESS,,Wrong Answer,TRUE
select-k-disjoint-special-substrings,Medium,989,791,,SUCCESS,,Wrong Answer,TRUE
assign-elements-to-groups-with-constraints,Medium,572,367,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-after-subarray-operation,Medium,749,13,,SUCCESS,,Wrong Answer,TRUE
closest-equal-element-queries,Medium,614,343,,SUCCESS,,Wrong Answer,TRUE
reschedule-meetings-for-maximum-free-time-ii,Medium,695,12,,SUCCESS,,Wrong Answer,TRUE
count-mentions-per-user,Medium,673,642,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-edge-weight-of-graph,Medium,671,591,,SUCCESS,,Wrong Answer,TRUE
longest-subsequence-with-decreasing-adjacent-difference,Medium,586,377,,SUCCESS,,Wrong Answer,TRUE
maximum-coins-from-k-consecutive-bags,Medium,605,83,,SUCCESS,,Wrong Answer,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subsequences,Medium,812,81,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-arrays-identical,Medium,955,208,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-largest-string-from-the-box-i,Medium,785,240,,SUCCESS,,Wrong Answer,TRUE
maximum-area-rectangle-with-point-constraints-i,Medium,1002,981,,SUCCESS,,Wrong Answer,TRUE
check-if-grid-can-be-cut-into-sections,Medium,698,616,,SUCCESS,,Wrong Answer,TRUE
digit-operations-to-make-two-integers-equal,Medium,573,372,,SUCCESS,,Wrong Answer,TRUE
minimum-array-sum,Medium,772,404,,SUCCESS,,Wrong Answer,TRUE
maximum-subarray-sum-with-length-divisible-by-k,Medium,661,193,,SUCCESS,,Wrong Answer,TRUE
minimum-time-to-break-locks-i,Medium,763,64,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iii,Medium,824,515,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-ii,Medium,627,89,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-i,Medium,668,294,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-ii,Medium,717,503,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-i,Medium,743,2,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-i,Medium,635,491,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-ii,Medium,1111,915,,SUCCESS,,Wrong Answer,TRUE
minimum-division-operations-to-make-array-non-decreasing,Medium,720,597,,SUCCESS,,Wrong Answer,TRUE
identify-the-largest-outlier-in-an-array,Medium,873,172,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-smallest-valid-sequence,Medium,905,174,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-i,Medium,686,480,,SUCCESS,,Wrong Answer,TRUE
reach-end-of-array-with-max-score,Medium,626,17,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-ii,Medium,661,68,,SUCCESS,,Wrong Answer,TRUE
find-the-power-of-k-size-subarrays-i,Medium,857,838,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-i,Medium,972,394,,SUCCESS,,Wrong Answer,TRUE
maximize-the-total-height-of-unique-towers,Medium,583,468,,SUCCESS,,Wrong Answer,TRUE
k-th-largest-perfect-subtree-size-in-binary-tree,Medium,766,206,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-numbers-which-are-not-special,Medium,855,849,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-operations-to-move-ones-to-the-end,Medium,694,148,,SUCCESS,,Wrong Answer,TRUE
count-submatrices-with-equal-frequency-of-x-and-y,Medium,770,18,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-ii,Medium,732,75,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-i,Medium,951,38,,SUCCESS,,Wrong Answer,TRUE
find-maximum-removals-from-source-string,Medium,755,536,,SUCCESS,,Wrong Answer,TRUE
maximize-total-cost-of-alternating-subarrays,Medium,692,99,,SUCCESS,,Wrong Answer,TRUE
vowels-game-in-a-string,Medium,697,591,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-i,Medium,543,311,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-string-after-operations,Medium,702,475,,SUCCESS,,Wrong Answer,TRUE
lexicographically-minimum-string-after-removing-stars,Medium,602,559,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-special-characters-ii,Medium,896,736,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-anagram-concatenation,Medium,560,279,,SUCCESS,,Wrong Answer,TRUE
minimum-array-end,Medium,765,50,,SUCCESS,,Wrong Answer,TRUE
replace-question-marks-in-string-to-minimize-its-value,Medium,548,148,,SUCCESS,,Wrong Answer,TRUE
water-bottles-ii,Medium,958,727,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-string-empty,Medium,697,83,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-number-of-elements-in-subset,Medium,731,355,,SUCCESS,,Wrong Answer,TRUE
find-if-array-can-be-sorted,Medium,999,677,,SUCCESS,,Wrong Answer,TRUE
minimum-moves-to-capture-the-queen,Medium,743,378,,SUCCESS,,Wrong Answer,TRUE
find-longest-special-substring-that-occurs-thrice-i,Medium,812,50,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-enemy-battles,Medium,579,44,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-array-equalindromic,Medium,650,602,,SUCCESS,,Wrong Answer,TRUE
maximum-size-of-a-set-after-removals,Medium,969,961,,SUCCESS,,Wrong Answer,TRUE
count-subarrays-where-max-element-appears-at-least-k-times,Medium,633,103,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-coins-for-fruits,Medium,578,81,,SUCCESS,,Wrong Answer,TRUE
distribute-candies-among-children-ii,Medium,958,560,,SUCCESS,,Wrong Answer,TRUE
separate-black-and-white-balls,Medium,581,69,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-product,Medium,863,227,,SUCCESS,,Wrong Answer,TRUE
maximum-score-after-applying-operations-on-a-tree,Medium,821,0,,SUCCESS,,Wrong Answer,TRUE
find-indices-with-index-and-value-difference-ii,Medium,517,430,,SUCCESS,,Wrong Answer,TRUE
minimum-size-subarray-in-infinite-array,Medium,535,383,,SUCCESS,,Wrong Answer,TRUE
happy-students,Medium,727,0,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-two-strings-equal,Medium,729,425,,SUCCESS,,Wrong Answer,TRUE
construct-product-matrix,Medium,1566,160,,SUCCESS,,Wrong Answer,TRUE
minimum-additions-to-make-valid-string,Medium,1523,185,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-square-free-subsets,Medium,44,23,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-of-a-path-with-special-roads,Medium,1045,999,,SUCCESS,,Wrong Answer,TRUE
take-k-of-each-character-from-left-and-right,Medium,142,125,,SUCCESS,,Wrong Answer,TRUE
most-profitable-path-in-a-tree,Medium,31,0,,SUCCESS,,Wrong Answer,TRUE
longest-special-path-ii,Hard,678,351,,SUCCESS,,Wrong Answer,TRUE
maximize-subarrays-after-removing-one-conflicting-pair,Hard,642,0,,SUCCESS,,Wrong Answer,TRUE
maximize-the-distance-between-points-on-a-square,Hard,619,321,,SUCCESS,,Wrong Answer,TRUE
lexicographically-smallest-generated-string,Hard,739,723,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-game-score,Hard,692,21,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-elements-zero,Hard,646,24,,SUCCESS,,Wrong Answer,TRUE
length-of-longest-v-shaped-diagonal-segment,Hard,561,154,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-ii,Hard,970,91,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-good-caption,Hard,714,5,,SUCCESS,,Wrong Answer,TRUE
minimum-increments-for-target-multiples-in-an-array,Hard,590,216,,SUCCESS,,Wrong Answer,TRUE
shortest-matching-substring,Hard,795,124,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-i,Hard,949,487,,SUCCESS,,Wrong Answer,TRUE
longest-special-path,Hard,675,260,,SUCCESS,,Wrong Answer,TRUE
count-connected-components-in-lcm-graph,Hard,697,462,,SUCCESS,,Wrong Answer,TRUE
maximize-sum-of-weights-after-edge-removals,Hard,714,513,,SUCCESS,,Wrong Answer,TRUE
count-non-decreasing-subarrays-after-k-operations,Hard,731,0,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-adjacent-element-difference,Hard,958,21,,SUCCESS,,Wrong Answer,TRUE
sum-of-good-subsequences,Hard,679,45,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-ii,Hard,825,4,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-ii,Hard,633,300,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-character-frequencies-equal,Hard,773,72,,SUCCESS,,Wrong Answer,TRUE
total-characters-in-string-after-transformations-ii,Hard,536,56,,SUCCESS,,Wrong Answer,TRUE
find-the-original-typed-string-ii,Hard,846,135,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subsequences-with-equal-gcd,Hard,622,25,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-possible-ways-for-an-event,Hard,568,64,,SUCCESS,,Wrong Answer,TRUE
check-if-dfs-strings-are-palindromes,Hard,584,208,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-winning-sequences,Hard,691,147,,SUCCESS,,Wrong Answer,TRUE
sorted-gcd-pair-queries,Hard,721,550,,SUCCESS,,Wrong Answer,TRUE
construct-2d-grid-matching-graph-layout,Hard,785,90,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-sequence-value-of-array,Hard,641,397,,SUCCESS,,Wrong Answer,TRUE
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,Hard,760,85,,SUCCESS,,Wrong Answer,TRUE
length-of-the-longest-increasing-path,Hard,725,242,,SUCCESS,,Wrong Answer,TRUE
select-cells-in-grid-with-maximum-score,Hard,546,465,,SUCCESS,,Wrong Answer,TRUE
maximum-score-of-non-overlapping-intervals,Hard,581,573,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-moves-to-kill-all-pawns,Hard,692,103,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-score-subarray-queries,Hard,635,241,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-good-integers,Hard,90,9,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-ii,Hard,631,429,,SUCCESS,,Wrong Answer,TRUE
maximum-value-sum-by-placing-three-rooks-ii,Hard,857,214,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-ii,Hard,801,375,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-i,Hard,801,381,,SUCCESS,,Wrong Answer,TRUE
minimum-amount-of-damage-dealt-to-bob,Hard,897,13,,SUCCESS,,Wrong Answer,TRUE
alternating-groups-iii,Hard,731,193,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-ii,Hard,644,2,,SUCCESS,,Wrong Answer,TRUE
check-if-the-rectangle-corner-is-reachable,Hard,933,565,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-inversions,Hard,720,77,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-area-to-cover-all-ones-ii,Hard,661,631,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-equal-to-target,Hard,554,119,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-ii,Hard,551,449,,SUCCESS,,Wrong Answer,TRUE
block-placement-queries,Hard,744,425,,SUCCESS,,Wrong Answer,TRUE
find-products-of-elements-of-big-array,Hard,758,233,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-equalize-array,Hard,636,559,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subarrays-where-boundary-elements-are-maximum,Hard,890,104,,SUCCESS,,Wrong Answer,TRUE
kth-smallest-amount-with-single-denomination-combination,Hard,561,312,,SUCCESS,,Wrong Answer,TRUE
maximize-consecutive-elements-in-an-array-after-modification,Hard,668,97,,SUCCESS,,Wrong Answer,TRUE
earliest-second-to-mark-indices-ii,Hard,510,176,,SUCCESS,,Wrong Answer,TRUE
minimize-or-of-remaining-elements-using-operations,Hard,822,3,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-powerful-integers,Hard,933,809,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-partitions-after-operations,Hard,277,267,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-infection-sequences,Hard,1000,477,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-good-partitions,Hard,813,809,,SUCCESS,,Wrong Answer,TRUE
find-maximum-non-decreasing-array-length,Hard,553,113,,SUCCESS,,Wrong Answer,TRUE
count-beautiful-substrings-ii,Hard,684,67,,SUCCESS,,Wrong Answer,TRUE
palindrome-rearrangement-queries,Hard,1211,891,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-maximize-frequency-score,Hard,774,117,,SUCCESS,,Wrong Answer,TRUE
find-building-where-alice-and-bob-can-meet,Hard,953,137,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-collecting-coins-from-all-nodes,Hard,542,231,,SUCCESS,,Wrong Answer,TRUE
count-valid-paths-in-a-tree,Hard,922,10,,SUCCESS,,Wrong Answer,TRUE
maximum-spending-after-buying-items,Hard,779,313,,SUCCESS,,Wrong Answer,TRUE
count-of-sub-multisets-with-bounded-sum,Hard,643,515,,SUCCESS,,Wrong Answer,TRUE
string-transformation,Hard,726,95,,SUCCESS,,Wrong Answer,TRUE
count-stepping-numbers-in-range,Hard,2523,2458,,SUCCESS,,Wrong Answer,TRUE
minimum-changes-to-make-k-semi-palindromes,Hard,558,257,,SUCCESS,,Wrong Answer,TRUE
modify-graph-edge-weights,Hard,882,223,,SUCCESS,,Wrong Answer,TRUE
find-the-string-with-lcp,Hard,55,31,,SUCCESS,,Wrong Answer,TRUE
subsequence-with-the-minimum-score,Hard,54,22,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-powered-city,Hard,30,9,,SUCCESS,,Wrong Answer,TRUE
number-of-beautiful-partitions,Hard,74,31,,SUCCESS,,Wrong Answer,TRUE
split-message-based-on-limit,Hard,94,86,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-non-overlapping-palindrome-substrings,Hard,56,10,,SUCCESS,,Wrong Answer,TRUE
height-of-binary-tree-after-subtree-removal-queries,Hard,40,0,,SUCCESS,,Wrong Answer,TRUE
longest-increasing-subsequence-ii,Hard,84,76,,SUCCESS,,Wrong Answer,TRUE
find-the-k-sum-of-an-array,Hard,111,7,,SUCCESS,,Wrong Answer,TRUE
maximum-total-beauty-of-the-gardens,Hard,77,43,,SUCCESS,,Wrong Answer,TRUE
count-good-triplets-in-an-array,Hard,148,30,,SUCCESS,,Wrong Answer,TRUE
maximum-fruits-harvested-after-at-most-k-steps,Hard,202,95,,SUCCESS,,Wrong Answer,TRUE
sequentially-ordinal-rank-tracker,Hard,81,3,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-tasks-you-can-assign,Hard,49,30,,SUCCESS,,Wrong Answer,TRUE
number-of-valid-move-combinations-on-chessboard,Hard,273,202,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-ways-to-partition-an-array,Hard,178,125,,SUCCESS,,Wrong Answer,TRUE
find-array-given-subset-sums,Hard,131,14,,SUCCESS,,Wrong Answer,TRUE
number-of-ways-to-separate-numbers,Hard,257,35,,SUCCESS,,Wrong Answer,TRUE
longest-common-subpath,Hard,81,68,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-reach-destination-in-time,Hard,93,86,,SUCCESS,,Wrong Answer,TRUE
the-earliest-and-latest-rounds-where-players-compete,Hard,137,77,,SUCCESS,,Wrong Answer,TRUE
design-movie-rental-system,Hard,42,23,,SUCCESS,,Wrong Answer,TRUE
minimum-skips-to-arrive-at-meeting-on-time,Hard,61,60,,SUCCESS,,Wrong Answer,TRUE
finding-mk-average,Hard,17,7,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-groups-getting-fresh-donuts,Hard,74,1,,SUCCESS,,Wrong Answer,TRUE
tree-of-coprimes,Hard,37,1,,SUCCESS,,Wrong Answer,TRUE
minimum-adjacent-swaps-for-k-consecutive-ones,Hard,117,3,,SUCCESS,,Wrong Answer,TRUE
minimum-initial-energy-to-finish-tasks,Hard,42,4,,SUCCESS,,Wrong Answer,TRUE
maximize-grid-happiness,Hard,67,10,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-connect-two-groups-of-points,Hard,84,15,,SUCCESS,,Wrong Answer,TRUE
parallel-courses-ii,Hard,82,69,,SUCCESS,,Wrong Answer,TRUE
paint-house-iii,Hard,62,60,,SUCCESS,,Wrong Answer,TRUE
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,Hard,21,5,,SUCCESS,,Wrong Answer,TRUE
